,art_title,what_is_known,what_is_added,implications,publication_date
173,"Evaluation of Abbott BinaxNOW Rapid Antigen Test for SARS-CoV-2 Infection at Two Community-Based Testing Sites — Pima County, Arizona, November 3–17, 2020",The BinaxNOW rapid antigen test received Emergency Use Authorization by the Food and Drug Administration for  testing specimens from symptomatic persons; performance among asymptomatic persons is not well characterized.,"Sensitivity of the BinaxNOW antigen test, compared with polymerase chain reaction testing, was lower when used to test specimens from asymptomatic (35.8%) than from symptomatic (64.2%) persons, but specificity was high. Sensitivity was higher for culture-positive specimens (92.6% and 78.6% for those from symptomatic and asymptomatic persons, respectively); however, some antigen test-negative specimens had culturable virus.",The high specificity and rapid BinaxNOW antigen test turnaround time facilitate earlier isolation of infectious persons. Antigen tests can be an important tool in an overall community testing strategy to reduce transmission.,22-Jan-21
174,"Emergence of SARS-CoV-2 B.1.1.7 Lineage — United States, December 29, 2020–January 12, 2021","A more highly transmissible variant of SARS-CoV-2, B.1.1.7, has been detected in start highlight12end highlight U.S. states.",Modeling data indicate that B.1.1.7 has the potential to increase the U.S. pandemic trajectory in the coming months. CDC’s system for genomic surveillance and the effort to expand sequencing will increase the availability of timely U.S. genomic surveillance data.,"The increased transmissibility of the B.1.1.7 variant warrants universal and increased compliance with mitigation strategies, including distancing and masking. Higher vaccination coverage might need to be achieved to protect the public. Genomic sequence analysis through the National SARS-CoV-2 Strain Surveillance program will enable a targeted approach to identifying variants of concern in the United States.",22-Jan-21
175,"COVID-19 Trends Among Persons Aged 0–24 Years — United States, March 1–December 12, 2020","Studies have consistently shown that children, adolescents, and young adults are susceptible to SARS-CoV-2 infections. Children and adolescents have had lower incidence and fewer severe COVID-19 outcomes than adults.","COVID-19 cases in children, adolescents, and young adults have increased since summer 2020, with weekly incidence higher in each successively increasing age group. Trends among children and adolescents aged 0–17 years paralleled those among adults.","To enable safer in-person learning, schools and communities should fully implement and strictly adhere to multiple mitigation strategies, especially universal and proper mask wearing, to reduce both school and community COVID-19 incidence to help protect students, teachers, and staff members from COVID-19.",22-Jan-21
176,"Mitigation Policies and COVID-19–Associated Mortality — 37 European Countries, January 23–June 30, 2020","Mitigation policies, including closure of nonessential businesses, restrictions on gatherings and movement, and stay-at-home orders, have been critical to controlling the COVID-19 pandemic in many countries, but they come with high social and economic costs.","European countries that implemented more stringent mitigation policies earlier in their outbreak response tended to report fewer COVID-19 deaths through the end of June 2020. These countries might have saved several thousand lives relative to countries that implemented similar policies, but later.","Earlier implementation of stringent mitigation policies, even by just a few weeks, appears to be important to prevent widespread COVID-19 transmission and reduce the number of deaths.",15-Jan-21
177,"Candida auris Outbreak in a COVID-19 Specialty Care Unit — Florida, July–August 2020",NA,NA,NA,15-Jan-21
178,"Rates of COVID-19 Among Residents and Staff Members in Nursing Homes — United States, May 25–November 22, 2020","In the United States, COVID-19 among older adults living in nursing homes is associated with higher rates of severe illness and death.","Rates of COVID-19 among nursing home residents and staff members increased during June and July 2020, and again in November. Trends in reported COVID-19 cases among nursing home residents and staff members were similar to trends in incidence of COVID-19 in surrounding communities.","Increases in community rates might be associated with increases in nursing home COVID-19 incidence, and nursing home mitigation strategies need to include a comprehensive plan to monitor local SARS-CoV-2 transmission and minimize high-risk exposures within facilities.",15-Jan-21
179,"Allergic Reactions Including Anaphylaxis After Receipt of the First Dose of Pfizer-BioNTech COVID-19 Vaccine — United States, December 14–23, 2020","Anaphylaxis is a severe, life-threatening allergic reaction that occurs rarely after vaccination.","During December 14–23, 2020, monitoring by the Vaccine Adverse Event Reporting System detected 21 cases of anaphylaxis after administration of a reported 1,893,360 first doses of the Pfizer-BioNTech COVID-19 vaccine (11.1 cases per million doses); 71% of these occurred within 15 minutes of vaccination.","Locations administering COVID-19 vaccines should adhere to CDC guidance for use of COVID-19 vaccines, including screening recipients for contraindications and precautions, having the necessary supplies available to manage anaphylaxis, implementing the recommended postvaccination observation periods, and immediately treating suspected cases of anaphylaxis with intramuscular injection of epinephrine.",15-Jan-21
180,"Time from Start of Quarantine to SARS-CoV-2 Positive Test Among Quarantined College and University Athletes — 17 States, June–October 2020",Quarantine after SARS-CoV-2 exposure is critical to preventing transmission. A 14-day quarantine can prevent further transmission but might be challenging to maintain.,"Among collegiate athletes exposed to COVID-19, one quarter had positive test results during quarantine. Among athletes who had not received a positive test result by day 5, the probability of testing positive decreased from 27% after day 5 to <5% after day 10.","Among young, healthy athletes, the probability of receiving positive test results after day 10 of quarantine is low. A shorter quarantine after COVID-19 exposure could increase adherence but still poses a small residual risk for transmission.",8-Jan-21
181,"Assessment of Day-7 Postexposure Testing of Asymptomatic Contacts of COVID-19 Patients to Evaluate Early Release from Quarantine — Vermont, May–November 2020",NA,NA,NA,8-Jan-21
182,"Opening of Large Institutions of Higher Education and County-Level COVID-19 Incidence — United States, July 6–September 17, 2020","Increasing COVID-19 incidence was observed among young adults in August 2020, and outbreaks have been reported at institutions of higher education (colleges and universities).","U.S. counties with large colleges or universities with remote instruction (n = 22) experienced a 17.9% decrease in incidence and university counties with in-person instruction (n = 79) experienced a 56% increase in incidence, comparing the 21-day periods before and after classes started. Counties without large colleges or universities (n = 3,009) experienced a 6% decrease in incidence during similar time frames.",Additional implementation of effective mitigation activities at colleges and universities with in-person instruction could minimize on-campus COVID-19 transmission and reduce county-level incidence.,8-Jan-21
183,"Participation in Fraternity and Sorority Activities and the Spread of COVID-19 Among Residential University Communities — Arkansas, August 21–September 5, 2020","Preventing COVID-19 in colleges and universities requires mitigation strategies addressing on- and off-campus congregate living settings, extracurricular activities, and social gatherings.","At the start of the 2020–21 academic year, COVID-19 cases increased rapidly at an Arkansas university. Network analysis indicated that 91% of gatherings were associated with fraternity or sorority activities. Recruitment events held virtually were associated with fewer cases than those held in-person.","Given the potential for rapid SARS-CoV-2 transmission in on- and off-campus settings and activities, colleges and universities should work with local health departments and student organizations to ensure compliance with mitigation guidelines.",8-Jan-21
184,"Implications of Shortened Quarantine Among Household Contacts of Index Patients with Confirmed SARS-CoV-2 Infection — Tennessee and Wisconsin, April–September 2020","After exposure to COVID-19, a 14-day quarantine period can prevent further spread but might be challenging to maintain.","Among persons exposed to COVID-19 in the household who were asymptomatic and had negative laboratory test results through 7 days after symptom onset in the index patient, 19% experienced symptoms or received positive test results in the following week.",A shorter quarantine after household exposure to COVID-19 might be easier to adhere to but poses some risk for onward transmission. Persons released from quarantine before 14 days should continue to avoid close contact and wear masks when around others until 14 days after their last exposure.,1-Jan-21
185,"Performance of an Antigen-Based Test for Asymptomatic and Symptomatic SARS-CoV-2 Testing at Two University Campuses — Wisconsin, September–October 2020","Antigen tests for SARS-CoV-2 are inexpensive and can return results within 15 minutes, but test performance data in asymptomatic and symptomatic persons are limited.","Compared with real-time reverse transcription–polymerase chain reaction (RT-PCR) testing, the Sofia antigen test had a sensitivity of 80.0% and specificity of 98.9% among symptomatic persons; accuracy was lower (sensitivity 41.2% and specificity 98.4%) when used for screening of asymptomatic persons.","To account for reduced antigen test accuracy, confirmatory testing with a nucleic acid amplification test (e.g., RT-PCR) should be considered after negative antigen test results in symptomatic persons and positive antigen test results in asymptomatic persons.",1-Jan-21
186,Impact of COVID-19 Pandemic on Global Poliovirus Surveillance,Surveillance for acute flaccid paralysis (AFP) is critical to detecting poliovirus circulation. Environmental (sewage) surveillance supplements AFP surveillance in many locations.,"Poliovirus surveillance activities were modified as a result of the COVID-19 pandemic. Reported AFP cases declined 33% from January to September of 2020 compared with the same period in 2019, and the number of environmental samples per site declined. The decline in polio surveillance coincided with the spread of COVID-19.",Interruptions to poliovirus surveillance might have negative consequences on detection of poliovirus circulation. Continued analysis of AFP reporting trends is necessary to better understand the long-term impact to the eradication initiative . The Global Polio Eradication Initiative remains committed to global polio eradication.,1-Jan-21
187,"The Advisory Committee on Immunization Practices’ Interim Recommendation for Use of Moderna COVID-19 Vaccine — United States, December 2020","On December 18, 2020, the Food and Drug Administration issued an Emergency Use Authorization (EUA) for the Moderna COVID-19 vaccine.","On December 19, 2020, after a transparent, evidence-based review of available data, the Advisory Committee on Immunization Practices (ACIP) issued an interim recommendation for use of the Moderna COVID-19 vaccine in persons aged ≥18 years for the prevention of COVID-19.","Use of all COVID-19 vaccines authorized under an EUA, including the Moderna COVID-19 vaccine, should be implemented in conjunction with ACIP’s interim recommendations for allocating initial supplies of COVID-19 vaccines.",1-Jan-21
188,"The Advisory Committee on Immunization Practices’ Updated Interim Recommendation for Allocation of COVID-19 Vaccine — United States, December 2020","On December 1, the Advisory Committee on Immunization Practices (ACIP) recommended that health care personnel and long-term care facility residents be offered COVID-19 vaccination first (Phase 1a).","On December 20, ACIP updated interim vaccine allocation recommendations. In Phase 1b, COVID-19 vaccine should be offered to persons aged ≥75 years and non–health care frontline essential workers, and in Phase 1c, to persons aged 65–74 years, persons aged 16–64 years with high-risk medical conditions, and essential workers not included in Phase 1b.","Federal, state, and local jurisdictions should use this guidance for COVID-19 vaccination program planning and implementation.",1-Jan-21
189,"COVID-19 Stats: COVID-19 Incidence,* by Age Group† — United States, March 1–November 14, 2020§",NA,NA,NA,1-Jan-21
190,"Health Center Testing for SARS-CoV-2 During the COVID-19 Pandemic — United States, June 5–October 2, 2020","Long-standing social inequities and health disparities have resulted in increased risk for COVID-19 infection, severe illness, and death among racial and ethnic minority populations.",Health centers have provided racial and ethnic minority populations access to SARS-CoV-2 testing. Improving health centers’ ability to reach groups at increased risk for COVID-19 might reduce transmission by identifying cases and supporting contact tracing and isolation.,Efforts to improve coordination of COVID-19 response-related activities between state and local public health departments and HRSA-funded health centers can increase access to testing and follow-up care for populations at increased risk for COVID-19.,18-Dec-20
191,"Telehealth Practice Among Health Centers During the COVID-19 Pandemic — United States, July 11–17, 2020",Limited data are available on expansion of virtual health care visits (telehealth) among U.S. health centers during the COVID-19 pandemic.,"During July 11–17, 2020, 963 (95.4%) of 1,009 Health Resources and Services Administration–funded health centers that responded to a voluntary weekly survey reported providing telehealth services. Health centers in urban areas were more likely to provide >30% of visits virtually than were those in rural areas.","Telehealth is a promising approach to promoting and expanding access to care, especially in the South and rural areas; this cost-effective modality can facilitate public health mitigation strategies and prevent transmission of SARS-CoV-2 and other respiratory illnesses, while supporting continuity of care.",18-Dec-20
192,"Factors That Might Affect SARS-CoV-2 Transmission Among Foreign-Born and U.S.-Born Poultry Facility Workers — Maryland, May 2020",Workers at meat and poultry processing facilities are at increased risk for SARS-CoV-2 infection and are disproportionately foreign-born.,"Compared with U.S.-born poultry workers, foreign-born workers at two Maryland facilities had higher odds of working on the production floor and of living with other poultry workers and lower odds of participating in social gatherings and visiting businesses during the preceding week.","Engineering and administrative controls might reduce SARS-CoV-2 transmission risk for workers on the production floor, many of whom are foreign-born. Culturally and linguistically tailored messages should be disseminated about mitigation measures, particularly those pertaining to carpools and close living quarters.",18-Dec-20
193,"Estimated Resource Costs for Implementation of CDC’s Recommended COVID-19 Mitigation Strategies in Pre-Kindergarten through Grade 12 Public Schools — United States, 2020–21 School Year",CDC recommends mitigation strategies that schools can adopt to minimize the risk for transmission of SARS-CoV-2 in school settings.,"Costs per student for implementation of strategies range from a mean of $55 (materials and consumables only) to $442 (materials and consumables, additional custodial staff members, and potential additional transportation). Incremental costs across states range from an additional 0.3% to 7.1% in costs needed above reported fiscal year 2018 school expenditures per student.","These findings offer schools, school districts, and other decision makers cost information necessary to budget and prioritize school resources during the COVID-19 pandemic.",18-Dec-20
194,"The Advisory Committee on Immunization Practices’ Interim Recommendation for Use of Pfizer-BioNTech COVID-19 Vaccine — United States, December 2020","On December 11, 2020, the Food and Drug Administration issued an Emergency Use Authorization for the Pfizer-BioNTech COVID-19 vaccine.","On December 12, 2020, after an explicit, evidence-based review of all available data, the Advisory Committee on Immunization Practices (ACIP) issued an interim recommendation for use of the Pfizer-BioNTech COVID-19 vaccine in persons aged ≥16 years for the prevention of COVID-19.",The recommendation for the Pfizer-BioNTech COVID-19 vaccine should be implemented in conjunction with ACIP’s interim recommendation for allocating initial supplies of COVID-19 vaccines. ,18-Dec-20
195,"Factors Associated with Positive SARS-CoV-2 Test Results in Outpatient Health Facilities and Emergency Departments Among Children and Adolescents Aged <18 Years — Mississippi, September–November 2020",Community and close contact exposures contribute to the spread of COVID-19.,"Among children and adolescents aged <18 years in Mississippi, close contact with persons with COVID-19 and gatherings with persons outside the household and lack of consistent mask use in school were associated with SARS-CoV-2 infection, whereas attending school or child care was not associated with receiving positive SARS-CoV-2 test results.",Close contacts with persons with COVID-19 and gatherings contribute to SARS-CoV-2 infections in children and adolescents. Consistent use of face masks and social distancing continue to be important to prevent COVID-19 spread.,18-Dec-20
196,"Trends in U.S. Emergency Department Visits Related to Suspected or Confirmed Child Abuse and Neglect Among Children and Adolescents Aged <18 Years Before and During the COVID-19 Pandemic — United States, January 2019–September 2020",Public health emergencies increase risk for child abuse and neglect because of increased stressors and loss of financial and social supports.,"During the COVID-19 pandemic, the total number of emergency department visits related to child abuse and neglect decreased, but the percentage of such visits resulting in hospitalization increased, compared with 2019.","The pandemic has affected health care–seeking patterns for child abuse and neglect, raising concerns that victims might not have received care and that severity of injuries remained stable or worsened. Implementation of strategies to prevent child abuse and neglect is important, particularly during public health emergencies.",11-Dec-20
197,"Racial and Ethnic Differences in Parental Attitudes and Concerns About School Reopening During the COVID-19 Pandemic — United States, July 2020",Families and school districts face challenges balancing COVID-19 mitigation and school reopening.,"Among parents of school-aged children who participated in an Internet panel survey, racial and ethnic minority parents were more concerned about some aspects of school reopening, such as compliance with mitigation measures, safety, and their child contracting or bringing home COVID-19, than were non-Hispanic White parents.",Understanding racial/ethnic differences in parental attitudes and concerns about school reopening can inform communication and mitigation strategies and highlights the importance of considering risks for severe COVID-19 and family resource needs when developing options for school attendance during the COVID-19 pandemic.,11-Dec-20
198,"COVID-19 Mortality Among American Indian and Alaska Native Persons — 14 States, January–June 2020","COVID-19 incidence is higher among American Indians/Alaska Natives (AI/ANs) than among non-Hispanic Whites. In 2009, AI/ANs experienced disproportionately high pandemic influenza A(H1N1)–associated mortality.","Based on data from 14 participating states, age-adjusted COVID-19–associated mortality among AI/ANs was 1.8 times that among non-Hispanic Whites. Among AI/ANs, mortality was higher among men than among women, and the disparity in mortality compared with non-Hispanic Whites was highest among persons aged 20–49 years.","AI/ANs have experienced disproportionate rates of infection and mortality during the COVID-19 pandemic. The excess risk, especially for AI/AN males and persons aged 20–49 years, should be considered when planning and implementing medical countermeasures and other prevention activities.",11-Dec-20
199,"The Advisory Committee on Immunization Practices’ Interim Recommendation for Allocating Initial Supplies of COVID-19 Vaccine — United States, 2020",Demand is expected to exceed supply during the first months of the national COVID-19 vaccination program.,"The Advisory Committee on Immunization Practices (ACIP) recommended, as interim guidance, that both 1) health care personnel and 2) residents of long-term care facilities be offered COVID-19 vaccine in the initial phase of the vaccination program.","Federal, state, and local jurisdictions should use this guidance for COVID-19 vaccination program planning and implementation. ACIP will consider vaccine-specific recommendations and additional populations when a Food and Drug Administration–authorized vaccine is available.",11-Dec-20
200,"Summary of Guidance for Public Health Strategies to Address High Levels of Community Transmission of SARS-CoV-2 and Related Deaths, December 2020",The United States is experiencing high levels of SARS-CoV-2 transmission.,"COVID-19 pandemic control requires a multipronged application of evidence-based strategies while improving health equity: universal face mask use, physical distancing, avoiding nonessential indoor spaces, increasing testing, prompt quarantine of exposed persons, safeguarding those at increased risk for severe illness or death, protecting essential workers, postponing travel, enhancing ventilation and hand hygiene, and achieving widespread COVID-19 vaccination coverage.","These combined strategies will protect health care, essential businesses, and schools, bridging to a future with high community coverage of effective vaccines and safe return to more activities in a range of settings.",11-Dec-20
201,"Implementing Mitigation Strategies in Early Care and Education Settings for Prevention of SARS-CoV-2 Transmission — Eight States, September–October 2020","The benefits of in-person child care programs are myriad; however, SARS-CoV-2 transmission has been documented in child care facilities.","Head Start and Early Head Start programs successfully implemented CDC-recommended guidance and other ancillary measures for child care programs that remained open, allowing them to continue offering in-person learning. These approaches were documented to guide implementation of mitigation strategies in child care settings.",Implementing and monitoring adherence to recommended mitigation strategies can reduce risk for SARS-CoV-2 transmission in child care settings. These approaches could be applied to other early care and education settings that remain open for in-person learning and potentially reduce the spread of coronavirus disease 2019.,11-Dec-20
202,"Multidisciplinary Community-Based Investigation of a COVID-19 Outbreak Among Marshallese and Hispanic/Latino Communities — Benton and Washington Counties, Arkansas, March–June 2020",Inequities in social determinants of health have put racial and ethnic minority groups at increased risk for COVID-19 and associated mortality.,"Marshallese and Hispanic persons represented approximately 19% of the population but accounted for 64% of COVID-19 cases and 57% of associated deaths in two Arkansas counties. Contributing factors include lack of relevant health communications, limited coordination between stakeholders, mistrust of the medical system, financial need to work, and household density.","Reducing COVID-19 disparities requires strengthening the coordination of public health, health care, and community stakeholders to provide tailored health education, community-based prevention activities, case management, care navigation, and service linkage.",4-Dec-20
203,"Disproportionate Incidence of COVID-19 Infection, Hospitalizations, and Deaths Among Persons Identifying as Hispanic or Latino — Denver, Colorado March–October 2020","Racial and ethnic disparities of COVID-19 have been noted at the national level, but community-level data are limited.","In Denver, Colorado, the majority of adult COVID-19 cases (55%), hospitalizations (62%), and deaths (51%) were among Hispanic adults, double the proportion of Hispanic adults in Denver (24.9%). Among adults with COVID-19, Hispanic persons reported larger household sizes and more known COVID-19 household exposure, working in essential industries, working while ill, and delays in testing after symptom onset.","Public health, health systems, and social services need to address systemic inequalities to mitigate the disproportionate incidence of COVID-19 in Hispanic persons.",4-Dec-20
204,"Increase in Hospital-Acquired Carbapenem-Resistant Acinetobacter baumannii Infection and Colonization in an Acute Care Hospital During a Surge in COVID-19 Admissions — New Jersey, February–July 2020",Carbapenem-resistant Acinetobacter baumannii (CRAB) causes health care–associated infections that are challenging to contain and often linked to infection prevention and control (IPC) breaches.,A New Jersey hospital reported a cluster of 34 CRAB cases that peaked during a surge in COVID-19 hospitalizations. Strategies to preserve continuity of care led to deviations in IPC practices; CRAB cases decreased when normal operations resumed.,"Hospitals managing surges of patients with COVID-19 might be vulnerable to outbreaks of multidrug-resistant organism (MDRO) infections. Maintaining IPC best practices (e.g., MDRO surveillance and hand hygiene and environmental cleaning audits) to the extent possible could mitigate spread.",4-Dec-20
205,"Decline in SARS-CoV-2 Antibodies After Mild Infection Among Frontline Health Care Personnel in a Multistate Hospital Network — 12 States, April–August 2020","Most persons develop virus-specific antibodies to SARS-CoV-2 after infection; however, the timeline of antibody decline over time is uncertain.","Among 156 frontline health care personnel who had positive SARS-CoV-2 antibody test results in spring 2020, 94% experienced a decline at repeat testing approximately 60 days later, and 28% seroreverted to below the threshold of positivity. Participants with higher initial antibody responses were more likely to have antibodies detected at the follow-up test than were those who had a lower initial antibody response.","SARS-CoV-2 antibodies decline over weeks following acute infection. Negative SARS-CoV-2 serologic results do not exclude previous infection, which has significant impacts on how serologic studies are interpreted.",27-Nov-20
206,"Implementation of Hospital Practices Supportive of Breastfeeding in the Context of COVID-19 — United States, July 15–August 20, 2020",Evidence-based hospital practices supporting breastfeeding have sometimes conflicted with COVID-19 infection prevention and control measures.,"During summer 2020, hospitals implemented a variety of practices intended to balance evidence-based maternity care with infection prevention and control. Because of the pandemic, 17.9% of hospitals reported that in-person lactation support had decreased, and 72.9% reported discharging mothers and their babies <48 hours after birth.",Additional postdischarge breastfeeding support and newborn follow-up might be needed during the COVID-19 pandemic. Longer-term monitoring of exclusive breastfeeding rates at hospital discharge will be important for assessing this aspect of the pandemic on infant health.,27-Nov-20
207,"COVID-19 Outbreak Associated with a 10-Day Motorcycle Rally in a Neighboring State — Minnesota, August–September 2020",Gatherings present an opportunity for rapid spread of COVID-19.,"Following a 10-day motorcycle rally in South Dakota attended by approximately 460,000 persons, 51 confirmed primary event-associated cases, 21 secondary cases, and five tertiary cases were identified in Minnesota residents. An additional nine likely rally-associated secondary or tertiary cases occurred. Four patients were hospitalized, and one died. Genomic sequencing supported the associations with the motorcycle rally.","The impact of gatherings as a source of virus transmission underscores the importance of reducing the number of attendees at gatherings, using face masks, and encouraging physical distancing to prevent ongoing transmission of SARS-CoV-2. Furthermore, these findings demonstrate the rationale for consistent mitigation measures across states.",27-Nov-20
208,"Trends in County-Level COVID-19 Incidence in Counties With and Without a Mask Mandate — Kansas, June 1–August 23, 2020",Wearing face masks in public spaces reduces the spread of SARS-CoV-2.,"The governor of Kansas issued an executive order requiring wearing masks in public spaces, effective July 3, 2020, which was subject to county authority to opt out. After July 3, COVID-19 incidence decreased in 24 counties with mask mandates but continued to increase in 81 counties without mask mandates.","Countywide mask mandates appear to have contributed to the mitigation of COVID-19 transmission in mandated counties. Community-level mitigation strategies emphasizing use of masks, physical distancing, staying at home when ill, and enhanced hygiene practices can help reduce the transmission of SARS-CoV-2.",27-Nov-20
209,"The Advisory Committee on Immunization Practices’ Ethical Principles for Allocating Initial Supplies of COVID-19 Vaccine — United States, 2020","During the period when the U.S. supply of COVID-19 vaccines is limited, the Advisory Committee on Immunization Practices (ACIP) will make vaccine allocation recommendations.","In addition to scientific data and implementation feasibility, four ethical principles will assist ACIP in formulating recommendations for the initial allocation of COVID-19 vaccine: 1) maximizing benefits and minimizing harms; 2) promoting justice; 3) mitigating health inequities; and 4) promoting transparency.","Ethical principles will aid ACIP in making vaccine allocation recommendations and state, tribal, local, and territorial public health authorities in developing vaccine implementation strategies based on ACIP’s recommendations.",27-Nov-20
210,"COVID-19 Outbreak — New York City, February 29–June 1, 2020",New York City (NYC) was an early epicenter of the COVID-19 pandemic in the United States.,"Approximately 203,000 cases of laboratory-confirmed COVID-19 were reported in NYC during the first 3 months of the pandemic. The crude fatality rate among confirmed cases was 9.2% overall and 32.1% among hospitalized patients. Incidence, hospitalization rates, and mortality were highest among Black/African American and Hispanic/Latino persons, as well as those who were living in neighborhoods with high poverty, aged ≥75 years, and with underlying medical conditions.",Mitigating COVID-19 transmission among vulnerable groups at high risk for hospitalization and death is an urgent priority.,20-Nov-20
211,"Characterization of COVID-19 in Assisted Living Facilities — 39 States, October 2020","Although the spread of SARS-CoV-2 in nursing homes is well documented, relatively little has been reported on COVID-19 among residents and staff members in U.S. assisted living facilities (ALFs).","By October 15, 2020, in 39 states with available data, 22% of ALFs reported one or more cases of COVID-19 among residents and staff members. Among ALF residents with COVID-19, 21% died, compared with 3% who died among the general population with COVID-19.","With ongoing community transmission, ALFs should take actions to prevent the spread of SARS-CoV-2 in their facilities, including rapid identification and response to residents and staff members with suspected or confirmed COVID-19.",20-Nov-20
212,"Implementation of a Pooled Surveillance Testing Program for Asymptomatic SARS-CoV-2 Infections on a College Campus — Duke University, Durham, North Carolina, August 2–October 11, 2020",SARS-CoV-2 can rapidly spread through university settings. Pooling specimens can enable large-scale testing while minimizing needed resources.,"In fall 2020, Duke University’s COVID-19 prevention strategy included risk reduction behaviors, frequent testing using pooled SARS-CoV-2 polymerase chain reaction testing, and contact tracing. Among 10,265 students who received testing 68,913 times, 84 had positive results. One half of infections were asymptomatic, and some had high viral loads.",SARS-CoV-2 transmission was limited in this congregate setting by integration of prevention strategies that included identification of asymptomatic infections through frequent testing. Pooled testing reduced the need for resources while allowing high throughput with high sensitivity and rapid turnaround of results.,20-Nov-20
213,"COVID-19 Stats: COVID-19 Incidence,* by Urban-Rural Classification† — United States, January 22–October 31, 2020§",NA,NA,NA,20-Nov-20
214,"COVID-19 Outbreak in an Amish Community — Ohio, May 2020",COVID-19 cases have been increasing in rural U.S. communities. Social gatherings can facilitate exposure to and transmission of SARS-CoV-2.,"Social gatherings, important in Amish communities, likely contributed to rapid transmission of SARS-CoV-2 in a rural Ohio Amish community. Some community members were concerned about having to follow critical mitigation strategies, including social distancing and mask wearing.","COVID-19 outbreaks in communities where social gatherings are common might be prevented by fostering collaborations and trust between the community and local health departments, sharing culturally and linguistically responsive health messages that emphasize protecting family and community members through established communication networks, and ensuring timely and convenient access to testing.",13-Nov-20
215,"Mental Health–Related Emergency Department Visits Among Children Aged <18 Years During the COVID-19 Pandemic — United States, January 1–October 17, 2020",Emergency departments (EDs) are often the first point of care for children’s mental health emergencies. U.S. ED visits for persons of all ages declined during the early COVID-19 pandemic (March–April 2020).,"Beginning in April 2020, the proportion of children’s mental health–related ED visits among all pediatric ED visits increased and remained elevated through October. Compared with 2019, the proportion of mental health–related visits for children aged 5–11 and 12–17 years increased approximately 24%. and 31%, respectively.","Monitoring indicators of children’s mental health, promoting coping and resilience, and expanding access to services to support children’s mental health are critical during the COVID-19 pandemic.",13-Nov-20
216,"Risk Assessment and Management of COVID-19 Among Travelers Arriving at Designated U.S. Airports, January 17–September 13, 2020","As an early effort to prevent importation of SARS-CoV-2, CDC established entry screening at designated airports for passengers from certain countries.","Passenger entry screening was resource-intensive with low yield of laboratory-diagnosed COVID-19 cases (one case per 85,000 travelers screened). Contact information was missing for a substantial proportion of screened travelers in the absence of manual data collection.","Symptom-based screening programs are ineffective because of the nonspecific clinical presentation of COVID-19 and asymptomatic cases. Reducing COVID-19 importation has transitioned to enhancing communication with travelers to promote recommended preventive measures, strengthening response capacity at ports of entry, and encouraging predeparture and postarrival testing. Collection of contact information from international air passengers before arrival would facilitate timely postarrival management when indicated.",13-Nov-20
217,"Multiple COVID-19 Outbreaks Linked to a Wedding Reception in Rural Maine — August 7–September 14, 2020",Large gatherings pose a high risk for SARS-CoV-2 transmission.,"A wedding reception with 55 persons in a rural Maine town led to COVID-19 outbreaks in the local community, as well as at a long-term care facility and a correctional facility in other counties. Overall, 177 COVID-19 cases were linked to the event, including seven hospitalizations and seven deaths (four in hospitalized persons). Investigation revealed noncompliance with CDC’s recommended mitigation measures.","To mitigate transmission, persons should avoid large gatherings, practice physical distancing, wear masks, stay home when ill, and self-quarantine after exposure to a person with confirmed SARS-CoV-2 infection.",13-Nov-20
218,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures— Delaware, March–June 2020","COVID-19 mitigation measures (e.g., stay-at-home orders and public mask mandate) and fundamental public health interventions (e.g., case investigations and contact tracing with prompt isolation or quarantine) are primary approaches to preventing and controlling SARS-CoV-2 community transmission.","State-mandated stay-at-home orders and public mask mandates coupled with case investigations with contact tracing contributed to an 82% reduction in COVID-19 incidence, 88% reduction in hospitalizations, and 100% reduction in mortality in Delaware during late April–June.","The combination of state-mandated community mitigation efforts and routine public health interventions can reduce the occurrence of new COVID-19 cases, hospitalizations, and deaths.",13-Nov-20
